step,plddt_loss,pae_loss,i_pae_loss,target_plddt_loss
0,0.1943,0.2251,0.0672,0.0473
1,0.1214,0.2177,0.0610,0.0636
2,0.3703,0.4705,0.0750,0.0736
3,0.2868,0.3361,0.0637,0.0571
4,0.2954,0.2418,0.0511,0.0347
5,0.3081,0.2596,0.0481,0.0476
6,0.1797,0.1844,0.0418,0.0270
7,0.2287,0.2074,0.0450,0.0303
8,0.2147,0.2011,0.0425,0.0264
9,0.2218,0.1871,0.0382,0.0260
10,0.1845,0.1664,0.0398,0.0279
11,0.2279,0.2156,0.0420,0.0215
12,0.2015,0.2069,0.0447,0.0373
13,0.1739,0.1776,0.0381,0.0139
14,0.1787,0.1753,0.0452,0.0296
15,0.1313,0.1581,0.0381,0.0197
16,0.1469,0.1718,0.0436,0.0229
17,0.1345,0.1771,0.0455,0.0227
18,0.1256,0.1575,0.0373,0.0145
19,0.1658,0.1546,0.0367,0.0300
20,0.1377,0.1930,0.0623,0.0743
21,0.1410,0.1733,0.0406,0.0189
22,0.1374,0.1711,0.0484,0.0499
23,0.1099,0.1421,0.0415,0.0149
24,0.1198,0.1435,0.0371,0.0140
25,0.1322,0.1557,0.0400,0.0255
26,0.1558,0.1194,0.0330,0.0222
27,0.1174,0.1256,0.0334,0.0150
28,0.1145,0.1216,0.0366,0.0174
29,0.1507,0.1549,0.0363,0.0189
30,0.1262,0.1534,0.0450,0.0285
31,0.1011,0.1132,0.0326,0.0171
32,0.1424,0.1566,0.0400,0.0258
33,0.1801,0.1789,0.0444,0.0269
34,0.1088,0.1451,0.0356,0.0191
35,0.1255,0.1284,0.0366,0.0194
36,0.0947,0.1532,0.0391,0.0239
37,0.1172,0.1622,0.0513,0.0464
38,0.0945,0.1039,0.0370,0.0196
39,0.0897,0.1302,0.0368,0.0213
40,0.0950,0.1274,0.0490,0.0414
41,0.1167,0.1699,0.0406,0.0181
42,0.0884,0.1401,0.0347,0.0124
43,0.0703,0.0998,0.0331,0.0164
44,0.0694,0.1072,0.0357,0.0153
45,0.0757,0.1401,0.0386,0.0214
46,0.0953,0.1127,0.0401,0.0265
47,0.0867,0.0962,0.0358,0.0224
48,0.0996,0.1455,0.0385,0.0213
49,0.0686,0.1022,0.0362,0.0239
50,0.0905,0.1339,0.0366,0.0207
51,0.0792,0.1303,0.0354,0.0165
52,0.0650,0.1077,0.0371,0.0200
53,0.0817,0.1462,0.0404,0.0168
54,0.0749,0.1270,0.0388,0.0173
55,0.0972,0.1226,0.0383,0.0269
56,0.0942,0.1156,0.0315,0.0170
57,0.0812,0.1207,0.0359,0.0197
58,0.0840,0.1480,0.0444,0.0242
59,0.0646,0.1241,0.0376,0.0167
60,0.0636,0.1084,0.0314,0.0120
61,0.1022,0.1290,0.0356,0.0228
62,0.1068,0.1557,0.0395,0.0239
63,0.0817,0.1249,0.0348,0.0141
64,0.0986,0.1045,0.0321,0.0183
65,0.0627,0.1104,0.0319,0.0134
66,0.0777,0.0990,0.0292,0.0218
67,0.0803,0.1041,0.0378,0.0289
68,0.0613,0.1030,0.0307,0.0153
69,0.0772,0.1252,0.0383,0.0221
70,0.0863,0.1452,0.0387,0.0184
71,0.0731,0.1389,0.0387,0.0203
72,0.0777,0.1214,0.0357,0.0183
73,0.0768,0.1282,0.0345,0.0182
74,0.0688,0.1372,0.0375,0.0174
75,0.1270,0.1204,0.0379,0.0295
76,0.1014,0.1061,0.0339,0.0216
77,0.1303,0.1894,0.0429,0.0297
78,0.1264,0.1335,0.0356,0.0364
79,0.1200,0.1409,0.0379,0.0307
80,0.1559,0.2054,0.0555,0.0629
81,0.1167,0.1394,0.0389,0.0242
82,0.1115,0.1458,0.0323,0.0157
83,0.1390,0.1482,0.0363,0.0194
84,0.1107,0.1551,0.0403,0.0273
85,0.1060,0.1458,0.0449,0.0419
86,0.0985,0.1587,0.0419,0.0220
87,0.1128,0.1695,0.0493,0.0365
88,0.1534,0.1800,0.0492,0.0466
89,0.1379,0.1601,0.0409,0.0250
90,0.1001,0.1210,0.0396,0.0288
91,0.1051,0.1552,0.0434,0.0258
92,0.0955,0.1174,0.0358,0.0176
93,0.1309,0.1694,0.0460,0.0391
94,0.1273,0.1425,0.0333,0.0152
95,0.0882,0.1177,0.0329,0.0193
96,0.1109,0.1382,0.0341,0.0270
97,0.1164,0.1587,0.0423,0.0263
98,0.1006,0.1513,0.0374,0.0181
99,0.1055,0.1634,0.0372,0.0162
100,0.1142,0.1348,0.0328,0.0178
101,0.1008,0.1725,0.0420,0.0220
102,0.0909,0.1389,0.0342,0.0159
103,0.0961,0.1331,0.0439,0.0271
104,0.1176,0.1772,0.0427,0.0219
105,0.1367,0.1514,0.0376,0.0289
106,0.1323,0.1464,0.0471,0.0522
107,0.1416,0.1441,0.0385,0.0327
108,0.1706,0.1848,0.0388,0.0367
109,0.1530,0.1754,0.0432,0.0402
110,0.1416,0.1685,0.0383,0.0286
111,0.1020,0.1581,0.0334,0.0136
112,0.1229,0.1707,0.0403,0.0254
113,0.1263,0.1512,0.0373,0.0273
114,0.1035,0.1394,0.0328,0.0196
115,0.1382,0.1691,0.0550,0.0652
116,0.1285,0.1631,0.0413,0.0298
117,0.1339,0.1392,0.0381,0.0339
118,0.1281,0.1646,0.0392,0.0287
119,0.1399,0.1523,0.0419,0.0362
120,0.1524,0.1799,0.0442,0.0401
121,0.1312,0.1664,0.0395,0.0245
122,0.1456,0.1589,0.0382,0.0298
123,0.1151,0.1431,0.0355,0.0182
124,0.1421,0.1345,0.0373,0.0205
