step,con_loss,i_con_loss,helix_loss,motif_distogram_loss
0,1.5903,2.1319,0.8614,1.9567
1,1.6722,2.3340,0.7801,1.9916
2,3.0471,3.0834,0.6944,2.1482
3,2.8297,3.2271,0.7532,2.4528
4,2.1872,2.5722,0.8734,2.1091
5,2.6554,2.1949,0.9567,1.8876
6,1.8924,2.3100,0.9840,1.7851
7,1.8764,2.4444,0.9187,2.1447
8,1.9862,2.5181,0.9087,2.1040
9,1.7935,1.9523,1.0785,1.8060
10,1.6845,2.1782,0.9914,2.1405
11,1.8793,1.9908,1.0220,1.6614
12,1.6432,1.9659,1.0750,1.8448
13,1.6981,1.9462,1.0802,1.8153
14,1.6450,2.0582,1.0690,1.8102
15,1.5107,1.7732,1.2057,1.9499
16,1.5502,2.0689,1.2276,2.0052
17,1.5350,1.7511,1.2031,1.9384
18,1.4668,1.7344,1.2372,2.0196
19,1.4676,1.7412,1.2472,1.8961
20,1.4373,1.8055,1.2401,1.8802
21,1.4498,1.7332,1.2447,2.0167
22,1.3979,1.7663,1.2564,1.8523
23,1.4005,1.6513,1.2627,1.8723
24,1.3542,1.5649,1.3151,2.0254
25,1.3242,1.5961,1.4023,2.0214
26,1.3901,1.6712,1.3457,1.8228
27,1.3101,1.5722,1.4682,1.9183
28,1.2806,1.5464,1.5421,1.8860
29,1.3007,1.7040,1.4888,1.8308
30,1.2927,1.6393,1.4019,1.9505
31,1.2479,1.5215,1.4562,2.0577
32,1.2797,1.7041,1.3870,1.7379
33,1.2577,1.7407,1.4754,1.9871
34,1.2672,1.4865,1.5591,1.9735
35,1.2353,1.5484,1.5103,2.1025
36,1.2311,1.5421,1.4714,2.1150
37,1.2041,1.5315,1.5850,2.4349
38,1.2222,1.4893,1.5011,1.6492
39,1.2598,1.5677,1.5592,2.0916
40,1.2100,1.5063,1.5535,1.8667
41,1.2005,1.5292,1.5136,1.9460
42,1.2054,1.6187,1.5694,2.1296
43,1.2055,1.4518,1.5808,2.0555
44,1.1802,1.5491,1.6348,2.1040
45,1.2158,1.5628,1.5677,2.0404
46,1.1845,1.4889,1.5401,2.0936
47,1.1754,1.4153,1.5879,2.1418
48,1.1930,1.4506,1.5560,2.0984
49,1.2164,1.5028,1.5580,2.2276
50,1.2484,1.5941,1.5407,2.0404
51,1.1794,1.4643,1.5982,1.9236
52,1.2216,1.5230,1.5875,2.1992
53,1.2068,1.5162,1.6007,2.0379
54,1.1954,1.5218,1.5752,1.9283
55,1.1680,1.5668,1.6144,2.0400
56,1.2131,1.6175,1.5768,1.9817
57,1.1846,1.5486,1.5556,1.9238
58,1.1976,1.5245,1.5845,1.9775
59,1.2019,1.4920,1.5940,2.1448
60,1.2161,1.6458,1.5321,1.9846
61,1.2012,1.5740,1.6118,1.8934
62,1.1813,1.6398,1.5802,2.1496
63,1.2017,1.3932,1.6306,2.0551
64,1.2725,1.4949,1.5199,2.0865
65,1.1702,1.4217,1.5766,2.0773
66,1.2340,1.6718,1.4849,1.9846
67,1.2117,1.6460,1.5344,1.7247
68,1.1937,1.4607,1.6264,2.2025
69,1.2236,1.5304,1.5606,2.2665
70,1.2533,1.5234,1.5927,2.4631
71,1.1880,1.3302,1.6228,2.2055
72,1.2017,1.4896,1.6195,2.1018
73,1.2842,1.5672,1.5648,2.0815
74,1.1770,1.5395,1.6274,2.0677
75,1.2400,1.8190,1.5758,2.0431
76,1.2472,1.7240,1.6326,2.0686
77,1.2238,1.5883,1.5802,2.0379
78,1.3262,2.1545,1.4333,1.9695
79,1.2425,1.9050,1.5622,2.0679
80,1.3722,2.4536,1.4178,2.2645
81,1.3255,2.0923,1.5161,2.0297
82,1.2700,1.7393,1.5756,2.0670
83,1.2717,1.7333,1.6024,1.9893
84,1.3272,1.8534,1.5142,1.8991
85,1.3210,1.9532,1.5573,1.8843
86,1.3113,1.7583,1.6440,1.8497
87,1.2948,1.5824,1.7649,2.0810
88,1.4106,2.0021,1.4768,2.0302
89,1.3029,1.7896,1.7013,2.0341
90,1.3342,1.8920,1.5894,1.8991
91,1.3199,1.9374,1.6267,2.0871
92,1.2740,1.7110,1.6967,1.9923
93,1.3705,1.8894,1.4986,1.8718
94,1.2967,1.7637,1.6812,2.1342
95,1.3363,2.0667,1.6584,2.1068
96,1.3540,1.9456,1.5565,2.0349
97,1.3402,1.7944,1.6685,1.9868
98,1.3827,2.0581,1.6038,2.1661
99,1.4025,1.8801,1.7309,1.8857
100,1.3467,1.6621,1.7009,2.1132
101,1.3977,2.1727,1.5021,2.0123
102,1.3317,1.8809,1.6614,2.0305
103,1.3378,2.0698,1.6552,2.0862
104,1.3469,1.8037,1.6914,2.1706
105,1.5122,2.3871,1.4361,2.2011
106,1.3932,2.6102,1.4765,2.2208
107,1.3534,1.7888,1.6305,2.0644
108,1.3323,1.6867,1.6452,2.0277
109,1.4418,2.1153,1.6024,1.9568
110,1.4882,2.1552,1.4761,2.0914
111,1.3353,1.7559,1.6752,2.2961
112,1.3795,1.9622,1.6067,1.9338
113,1.4188,1.9626,1.5608,2.0700
114,1.3230,1.9024,1.7220,2.1524
115,1.4862,2.4951,1.4733,2.1950
116,1.4786,2.3985,1.3846,2.2443
117,1.4431,1.9621,1.5666,1.9870
118,1.4646,2.3274,1.4206,2.1329
119,1.4936,2.2653,1.4506,2.2362
120,1.5396,2.3882,1.4082,2.1487
121,1.5270,2.2012,1.3860,2.0846
122,1.5366,2.1212,1.4008,2.1397
123,1.5174,2.1541,1.4250,2.0869
124,1.5714,2.1471,1.3870,2.0940
